FromName,ToName,ParentName,Include,Description,DataType,DataLength,,
Alternativedisplayofcommoncharactersininternationalmorsecode.Description,Description,,FALSE,,TEXT,500,,
Link,Link,,FALSE,,,,,
Link.LinkId,LinkId,,FALSE,,GUID,,,
Link.Name,Name,,FALSE,,TEXT,50,,
Link.Description,Description,,FALSE,,TEXT,500,,
Budget,Budget,,FALSE,,,,,
Budget.BudgetId,BudgetId,,FALSE,,GUID,,,
Budget.Name,Name,,FALSE,,TEXT,50,,
Budget.Description,Description,,FALSE,,TEXT,500,,
Non,Non,,FALSE,,,,,
Non.NonId,NonId,,FALSE,,GUID,,,
Non.Name,Name,,FALSE,,TEXT,50,,
Non.Description,Description,,FALSE,,TEXT,500,,
Latinextension,Latinextension,,FALSE,,,,,
Latinextension.LatinextensionId,LatinextensionId,,FALSE,,GUID,,,
Latinextension.Name,Name,,FALSE,,TEXT,50,,
Latinextension.Description,Description,,FALSE,,TEXT,500,,
Software,Software,,FALSE,,,,,
Software.SoftwareId,SoftwareId,,FALSE,,GUID,,,
Software.Name,Name,,FALSE,,TEXT,50,,
Software.Description,Description,,FALSE,,TEXT,500,,
Decodingsoftware,Decodingsoftware,,FALSE,,,,,
Decodingsoftware.DecodingsoftwareId,DecodingsoftwareId,,FALSE,,GUID,,,
Decodingsoftware.Name,Name,,FALSE,,TEXT,50,,
Decodingsoftware.Description,Description,,FALSE,,TEXT,500,,
Seealso,Seealso,,FALSE,,,,,
Seealso.SeealsoId,SeealsoId,,FALSE,,GUID,,,
Seealso.Name,Name,,FALSE,,TEXT,50,,
Seealso.Description,Description,,FALSE,,TEXT,500,,
Bibliography,Bibliography,,FALSE,,,,,
Bibliography.BibliographyId,BibliographyId,,FALSE,,GUID,,,
Bibliography.Name,Name,,FALSE,,TEXT,50,,
Bibliography.Description,Description,,FALSE,,TEXT,500,,
Enwikipediaorgwikispecialcentralautologinstarttypex,Enwikipediaorgwikispecialcentralautologinstarttypex,,FALSE,,,,,
Enwikipediaorgwikispecialcentralautologinstarttypex.EnwikipediaorgwikispecialcentralautologinstarttypexId,EnwikipediaorgwikispecialcentralautologinstarttypexId,,FALSE,,GUID,,,
Enwikipediaorgwikispecialcentralautologinstarttypex.Name,Name,,FALSE,,TEXT,50,,
Enwikipediaorgwikispecialcentralautologinstarttypex.Description,Description,,FALSE,,TEXT,500,,
Httpsenwikipediaorgwindexphptitlemorsecodeoldid,Httpsenwikipediaorgwindexphptitlemorsecodeoldid,,FALSE,,,,,
Httpsenwikipediaorgwindexphptitlemorsecodeoldid.HttpsenwikipediaorgwindexphptitlemorsecodeoldidId,HttpsenwikipediaorgwindexphptitlemorsecodeoldidId,,FALSE,,GUID,,,
Httpsenwikipediaorgwindexphptitlemorsecodeoldid.Name,Name,,FALSE,,TEXT,50,,
Httpsenwikipediaorgwindexphptitlemorsecodeoldid.Description,Description,,FALSE,,TEXT,500,,
Letter,Letter,,FALSE,,,,,
Letter.LetterId,LetterId,,FALSE,,GUID,,,
Letter.Name,Name,,FALSE,,TEXT,50,,
Letter.Description,Description,,FALSE,,TEXT,500,,
